"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14929","Login Test: Valid login @datadriven","chromium","2026-07-18","failed","2026-07-18","","LoginDataDrivin.spec.ts","",""
"","12854","User login test @master @sanity @regression","chromium","2026-07-20","passed","2026-07-20","","Login.spec.ts","",""
"","26606","Add product to cart test @master @regression","chromium","2026-07-20","passed","2026-07-20","","AddToCart.spec.ts","",""
"","25965","execute end-to-end test flow @end-to-end","chromium","2026-07-20","failed","2026-07-20","","EndToEEndTestCase.spec.ts","",""
"","4771","User Registraition test @master @sanity @regression","chromium","2026-07-21","passed","2026-07-21","","AccountRegistrion.spec.ts","",""
"","21479","Login Test: Invalid login @datadriven","chromium","2026-07-18","passed","2026-07-18","","LoginDataDrivin.spec.ts","",""
"","9887","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-07-20","passed","2026-07-20","","LoginDataDrivin.spec.ts","",""
"","19081","Login Test with CSV Data: Valid login @datadriven","chromium","2026-07-20","failed","2026-07-20","","LoginDataDrivin.spec.ts","",""
"","2057","Add product to cart test @master @regression","chromium","2026-07-21","passed","2026-07-21","","AddToCart.spec.ts","",""
"","11630","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-07-20","passed","2026-07-20","","LoginDataDrivin.spec.ts","",""
"","2528","User logout test @master @regression","chromium","2026-07-21","passed","2026-07-21","","Logout.spec.ts","",""
"","10608","Login Test with JSON Data: Valid login @datadriven","chromium","2026-07-20","failed","2026-07-20","","LoginDataDrivin.spec.ts","",""
"","1416","Product search test @master @regression","chromium","2026-07-21","passed","2026-07-21","","SearchProduct.spec.ts","",""
"","25453","User logout test @master @regression","chromium","2026-07-20","passed","2026-07-20","","Logout.spec.ts","",""
"","1746","User login test @master @sanity @regression","chromium","2026-07-21","passed","2026-07-21","","Login.spec.ts","",""
"","18338","Product search test @master @regression","chromium","2026-07-20","passed","2026-07-20","","SearchProduct.spec.ts","",""
"","34157","User Registraition test","chromium","2026-07-16","broken","2026-07-16","","AccountRegistrion.spec.ts","",""
"","18728","User Registraition test @master @sanity @regression","chromium","2026-07-20","passed","2026-07-20","","AccountRegistrion.spec.ts","",""
